id,owner_id,status,city,district,year,price,mileage,body_type,transmission,fuel_type,drivetrain,condition,color,title,description,published_at,created_at,updated_at,make,model,latitude,longitude,reviewed_at,review_source,review_reason,ml_status,ml_source,ml_make,ml_model,ml_year_start,ml_year_end,ml_confidence,ml_raw,ml_updated_at,public_bidding_enabled,engine_cylinders,engine_volume,sold_at,sold_price,archived_at,status_before_archive
2,1,active,Buffalo,,2024,29753,72420,SUV,Automatic,Petrol,4WD,Used,Red,Mazda CX-90 2024 for sale,"For sale is a 2024 Mazda CX-90 SUV in red. This used vehicle has 72,420 miles and features an automatic transmission and 4WD drivetrain. Priced at 29,753 USD, it's a solid option for those looking for a reliable SUV. Located in Buffalo.",2026-05-01 22:41:06.65937,2026-05-01 22:41:05.642507,2026-05-01 22:41:06.659383,Mazda,CX-90,42.976759,-78.801814,2026-05-01 22:41:06.659392,auto,Automatically approved.,completed,stub-v1,Toyota,Camry,2020,2022,0.75,"{""note"": ""stub result"", ""photo_count"": 4, ""photo_urls"": [""https://nicherides.com/autointel-media/cars/2/8b125043295741d6975cde643584519e.jpeg"", ""https://nicherides.com/autointel-media/cars/2/a433c7a05734435e855c2084bfce4220.webp"", ""https://nicherides.com/autointel-media/cars/2/a5fc4356ee66443282f851e3de3659a3.jpeg"", ""https://nicherides.com/autointel-media/cars/2/616a687121a746169c859908e20c8d44.jpeg""]}",2026-05-01 22:41:06.614038,t,6,3.3,,,,
1,1,expired,Buffalo,,2024,29753,72415,SUV,Automatic,Petrol,4WD,Used,Red,Mazda CX-90 2024 for sale,"For sale is a 2024 Mazda CX-90 SUV in red. This used vehicle has 72,415 miles on the odometer and features an automatic transmission and 4WD drivetrain. Priced at 29,753 USD, it offers a solid option for those looking for a reliable SUV. Located in Buffalo.",,2026-05-01 22:10:48.568226,2026-05-01 22:41:17.579022,Mazda,CX-90,42.976771,-78.801929,,,,,,,,,,,,,t,6,3.3,,,2026-05-01 22:41:17.579022,draft
3,2,active,Buffalo,,2026,33000,1609,SUV,Automatic,Petrol,4WD,Used,Red,Jeep Wrangler 2026 for sale,"For sale is a 2026 Jeep Wrangler in red. This used SUV has only 1,609 miles on it and features an automatic transmission and 4WD. Priced at $34,272, it comes with winter tires, heated seats, and has been garage kept. The vehicle has a clean title, no accidents, and includes service records. It has had one owner and has undergone recent maintenance.",2026-05-03 03:04:41.468387,2026-05-03 03:04:40.219055,2026-05-06 16:14:36.784102,Jeep,Wrangler,42.976679,-78.801819,2026-05-03 03:04:41.468408,auto,Automatically approved.,completed,stub-v1,Toyota,Camry,2020,2022,0.75,"{""note"": ""stub result"", ""photo_count"": 4, ""photo_urls"": [""https://nicherides.com/autointel-media/cars/3/e222011cdbcc479a8d39b62a7f0d1237.avif"", ""https://nicherides.com/autointel-media/cars/3/81a2ebc0565e40d29887b33fd5dc2b75.avif"", ""https://nicherides.com/autointel-media/cars/3/16496bf54c6f4b77bef44d1d748eaecf.avif"", ""https://nicherides.com/autointel-media/cars/3/e31b968fdbb043d0bc28ceb63b8fee8c.jpg""]}",2026-05-06 16:14:37.411858,t,6,3.6,,,,
5,2,active,Buffalo,,2022,19643,128747,Sedan,Automatic,Petrol,,,,Toyota Camry 2022 for sale,"Year: 2022. Make: Toyota. Model: Camry. Body type: Sedan. Transmission: Automatic. Fuel type: Petrol. Engine cylinders: 4. Engine volume: 2.5L. Mileage: 80,000 mi. Price: $19,643. City: Buffalo. Seller-confirmed highlights: service records, one owner, clean title, no accidents.",2026-05-11 14:36:40.005327,2026-05-11 14:36:37.22388,2026-05-11 14:36:40.00534,Toyota,Camry,42.976625,-78.801854,2026-05-11 14:36:40.005348,auto,Automatically approved.,completed,stub-v1,Toyota,Camry,2020,2022,0.75,"{""note"": ""stub result"", ""photo_count"": 4, ""photo_urls"": [""https://nicherides.com/autointel-media/cars/5/324985e6bcab47d28384416b34a88f52.webp"", ""https://nicherides.com/autointel-media/cars/5/e89dcaac6bbe4e13b2a19802d46f191e.webp"", ""https://nicherides.com/autointel-media/cars/5/3b5a74967a6d408698780efa1670c3ea.webp"", ""https://nicherides.com/autointel-media/cars/5/ba87e2499d59484f81923e56a85da03b.webp""]}",2026-05-11 14:36:39.927791,f,4,2.5,,,,
6,2,active,Buffalo,,1995,1,128747,Sedan,Automatic,Petrol,,,,Toyota Camry 1995 for sale,"Year: 1995. Make: Toyota. Model: Camry. Body type: Sedan. Transmission: Automatic. Fuel type: Petrol. Engine cylinders: 4. Engine volume: 2.5L. Mileage: 280,000 mi. Price: $1. City: Buffalo. Seller-confirmed highlights: service records, one owner, clean title, no accidents.",2026-05-11 14:36:40.005327,2026-05-11 14:36:37.22388,2026-05-11 14:36:40.00534,Toyota,Camry,42.976625,-78.801854,2026-05-11 14:36:40.005348,auto,Automatically approved.,completed,stub-v1,Toyota,Camry,2020,2022,0.75,"{""note"": ""stub result"", ""photo_count"": 4, ""photo_urls"": [""https://nicherides.com/autointel-media/cars/5/324985e6bcab47d28384416b34a88f52.webp"", ""https://nicherides.com/autointel-media/cars/5/e89dcaac6bbe4e13b2a19802d46f191e.webp"", ""https://nicherides.com/autointel-media/cars/5/3b5a74967a6d408698780efa1670c3ea.webp"", ""https://nicherides.com/autointel-media/cars/5/ba87e2499d59484f81923e56a85da03b.webp""]}",2026-05-11 14:36:39.927791,f,4,2.5,,,,
3,2,active,Buffalo,,2026,3000000,1609,SUV,Automatic,Petrol,4WD,New,Red,Rare Jeep Wrangler 2026 for sale,"For sale is a 2026 Jeep Wrangler in red. This used SUV has only 1,609 miles on it and features an automatic transmission and 4WD. Priced at $34,272, it comes with winter tires, heated seats, and has been garage kept. The vehicle has a clean title, no accidents, and includes service records. It has had one owner and has undergone recent maintenance.",2026-05-03 03:04:41.468387,2026-05-03 03:04:40.219055,2026-05-06 16:14:36.784102,Jeep,Wrangler,42.976679,-78.801819,2026-05-03 03:04:41.468408,auto,Automatically approved.,completed,stub-v1,Toyota,Camry,2020,2022,0.75,"{""note"": ""stub result"", ""photo_count"": 4, ""photo_urls"": [""https://nicherides.com/autointel-media/cars/3/e222011cdbcc479a8d39b62a7f0d1237.avif"", ""https://nicherides.com/autointel-media/cars/3/81a2ebc0565e40d29887b33fd5dc2b75.avif"", ""https://nicherides.com/autointel-media/cars/3/16496bf54c6f4b77bef44d1d748eaecf.avif"", ""https://nicherides.com/autointel-media/cars/3/e31b968fdbb043d0bc28ceb63b8fee8c.jpg""]}",2026-05-06 16:14:37.411858,t,6,3.6,,,,
4,2,expired,Buffalo,,2024,32632,45000000,SUV,Automatic,Petrol,4WD,Used,Red,Mazda Cx-90 2024 for sale,"For sale is a used 2024 Mazda Cx-90 SUV in red. It has an automatic transmission and runs on petrol. With 45,000 miles on the odometer, this 4WD vehicle features a 3.3L 6-cylinder engine. Priced at 32,632 USD, it's located in Buffalo. This car is ready for its next owner.",,2026-05-04 13:06:05.961085,2026-05-05 17:13:21.439769,Mazda,Cx-90,,,,,,,,,,,,,,,f,6,3.3,,,2026-05-05 17:13:21.439769,draft
4,2,expired,Buffalo,,1888,32632,45000,SUV,Automatic,Petrol,4WD,Used,Red,Mazda Cx-90 2024 for sale,"For sale is a used 2024 Mazda Cx-90 SUV in red. It has an automatic transmission and runs on petrol. With 45,000 miles on the odometer, this 4WD vehicle features a 3.3L 6-cylinder engine. Priced at 32,632 USD, it's located in Buffalo. This car is ready for its next owner.",,2026-05-04 13:06:05.961085,2026-05-05 17:13:21.439769,Mazda,Cx-90,,,,,,,,,,,,,,,f,6,3.3,,,2026-05-05 17:13:21.439769,draft
4,2,expired,Buffalo,,2024,0,45000,SUV,Automatic,Petrol,4WD,Used,Red,Mazda Cx-90 2024 for sale,"For sale is a used 2024 Mazda Cx-90 SUV in red. It has an automatic transmission and runs on petrol. With 45,000 miles on the odometer, this 4WD vehicle features a 3.3L 6-cylinder engine. Priced at 32,632 USD, it's located in Buffalo. This car is ready for its next owner.",,2026-05-04 13:06:05.961085,2026-05-05 17:13:21.439769,Mazda,Cx-90,,,,,,,,,,,,,,,f,6,3.3,,,2026-05-05 17:13:21.439769,draft
4,2,expired,Buffalo,,2024,1000,45000,NaN,NaN,NaN,NaN,NaN,NaN,Mazda Cx-90 2024 for sale,"For sale is a used 2024 Mazda Cx-90 SUV in red. It has an automatic transmission and runs on petrol. With 45,000 miles on the odometer, this 4WD vehicle features a 3.3L 6-cylinder engine. Priced at 32,632 USD, it's located in Buffalo. This car is ready for its next owner.",,2026-05-04 13:06:05.961085,2026-05-05 17:13:21.439769,Mazda,Cx-90,,,,,,,,,,,,,,,f,6,3.3,,,2026-05-05 17:13:21.439769,draft
